,first_name,second_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost,element_type,position,initial_cost,team_name
619,Pablo,Fornals,2,6,93,2167,35,359.7,350.4,381.0,4,346,109.2,6,0,3,0.3,60,3,MID,65,WHU
620,Pedro,Obiang,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,3,MID,45,WHU
621,Roberto,Jimenez Gago,0,0,18,686,17,0.0,239.0,0.0,1,134,23.9,0,0,0,0.3,44,1,GK,45,WHU
622,Sébastien,Haller,7,3,102,2259,41,354.5,450.4,1012.0,11,327,180.9,5,0,1,2.1,68,4,FWD,75,WHU
623,Albian,Ajeti,0,0,9,132,3,22.9,5.2,47.0,0,16,7.3,0,0,0,0.0,56,4,FWD,60,WHU
624,David,Martin,0,0,20,435,6,0.0,112.0,0.0,2,86,11.2,2,0,1,3.3,39,1,GK,40,WHU
625,Nathan,Holland,0,0,2,31,1,3.8,12.6,9.0,0,10,2.5,0,0,0,0.0,44,3,MID,45,WHU
626,Joseph,Anang,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,40,1,GK,40,WHU
627,Jeremy,Ngakia,0,0,8,440,8,10.7,78.0,9.0,0,48,9.8,0,0,0,0.1,40,2,DEF,40,WHU
628,Gonçalo Bento,Soares Cardoso,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,40,2,DEF,40,WHU
629,Bernardo,Costa Da Rosa,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,3,MID,45,WHU
630,Darren,Randolph,0,0,3,180,5,0.0,49.6,0.0,0,27,4.9,0,0,0,0.2,39,1,GK,45,WHU
631,Tomas,Soucek,3,0,41,1039,18,73.1,254.2,293.0,3,155,62.1,1,0,0,0.4,48,3,MID,50,WHU
632,Jarrod,Bowen,1,4,44,916,13,235.0,221.4,342.0,3,173,79.8,1,0,0,0.2,64,3,MID,65,WHU
633,Alfie,Lewis,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,3,MID,45,WHU
634,Conor,Coventry,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,3,MID,45,WHU
635,Matt,Doherty,4,8,167,2836,31,340.5,576.2,681.0,15,590,160.0,12,0,1,12.7,65,2,DEF,60,WOL
636,Jonathan,Castro Otto,2,3,123,2885,35,379.2,543.6,299.0,6,537,122.4,11,0,4,2.5,55,2,DEF,55,WOL
637,Conor,Coady,0,0,118,3420,40,68.8,556.4,0.0,7,648,62.4,13,0,5,2.5,51,2,DEF,50,WOL
638,Willy,Boly,0,1,97,1980,15,85.8,477.0,119.0,10,470,68.4,12,1,1,4.1,49,2,DEF,50,WOL
639,Rúben Gonçalo,Silva Nascimento Vinagre,0,0,32,644,6,96.2,130.4,56.0,1,134,28.1,3,0,1,0.2,41,2,DEF,45,WOL
640,Romain,Saïss,2,2,103,2703,34,160.7,621.2,298.0,8,525,108.1,10,1,10,5.5,47,2,DEF,45,WOL
641,Max,Kilman,0,0,5,184,2,1.2,35.2,0.0,0,24,3.7,0,0,0,3.3,39,2,DEF,40,WOL
642,Raúl,Jiménez,17,7,194,3241,36,668.2,911.6,1680.0,33,685,325.4,15,0,3,29.5,80,4,FWD,75,WOL
643,Diogo,Jota,7,3,105,2278,28,453.3,457.8,1139.0,12,348,204.9,10,0,4,4.8,60,4,FWD,65,WOL
644,Rui Pedro,dos Santos Patrício,0,0,153,3420,40,0.0,741.0,0.0,8,680,74.3,13,0,0,9.9,53,1,GK,50,WOL
645,John,Ruddy,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.4,42,1,GK,45,WOL
646,Will,Norris,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.7,39,1,GK,40,WOL
647,Rúben Diogo,da Silva Neves,2,2,97,3053,35,445.4,538.6,307.0,7,498,129.1,13,0,9,4.4,52,3,MID,55,WOL
648,João Filipe Iria,Santos Moutinho,1,7,113,3105,36,1200.1,712.0,122.0,12,617,204.0,11,0,7,4.4,53,3,MID,55,WOL
649,Morgan,Gibbs-White,0,1,11,125,2,44.1,6.6,12.0,0,39,6.3,0,0,0,0.1,47,3,MID,50,WOL
650,Adama,Traoré,4,9,130,2599,33,786.4,727.2,583.0,14,522,209.7,7,0,1,13.2,56,3,MID,50,WOL
651,Hélder,Costa,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,48,3,MID,50,WOL
652,Ivan,Cavaleiro,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,49,3,MID,50,WOL
653,Leander,Dendoncker,4,0,100,2790,34,160.6,529.2,282.0,9,426,96.8,11,0,5,8.5,44,3,MID,45,WOL
654,Jesús,Vallejo Lázaro,0,0,1,162,6,7.0,35.6,0.0,0,22,4.3,0,0,1,0.2,46,2,DEF,50,WOL
655,Patrick,Cutrone,2,0,23,292,6,35.6,85.2,155.0,0,69,27.5,1,0,0,0.4,54,4,FWD,60,WOL
656,Pedro,Lomba Neto,3,3,57,920,12,232.0,227.8,260.0,0,194,71.8,1,0,3,0.2,49,3,MID,50,WOL
657,Bernard,Ashley-Seal,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,45,4,FWD,45,WOL
658,Taylor,Perry,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,3,MID,45,WOL
659,Owen,Otasowie,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,3,MID,45,WOL
660,Luke,Cundle,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,3,MID,45,WOL
661,Oskar,Buur,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,40,2,DEF,40,WOL
662,Ryan,Giles,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,39,2,DEF,40,WOL
663,Bruno André,Cavaco Jordao,0,0,1,6,0,10.4,2.6,0.0,0,4,1.3,0,0,0,0.0,45,3,MID,45,WOL
664,Daniel,Castelo Podence,1,1,25,285,0,73.3,62.4,148.0,2,74,28.4,3,0,0,0.1,49,3,MID,55,WOL
665,Leonardo,Campana,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,4,FWD,45,WOL
