Unnamed: 0,first_name,second_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost,element_type,position,initial_cost,team_name,name,id
85,Tommi,O'Reilly,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,3,MID,45,AVL,Tommi O'Reilly_713,713
86,Pontus,Jansson,3,4,122,3321,56,67.1,766.4,476.0,13,616,131.4,8,0,7,7.0,45,2,DEF,45,BRE,Pontus Jansson_76,76
87,Christian,Nørgaard,3,4,101,3054,51,409.8,694.8,434.0,5,502,154.3,8,0,8,0.6,50,3,MID,50,BRE,Christian Nørgaard_77,77
88,Ivan,Toney,12,5,139,2908,47,572.0,717.8,1284.0,19,502,257.4,8,0,8,18.8,69,4,FWD,65,BRE,Ivan Toney_78,78
89,Tariqe,Fosu-Henry,0,0,1,16,0,4.8,5.2,21.0,0,4,3.1,0,0,0,0.0,51,3,MID,55,BRE,Tariqe Fosu-Henry_79,79
90,David,Raya Martin,0,0,95,2160,27,10.0,575.6,0.0,5,496,58.3,8,0,1,4.6,44,1,GK,45,BRE,David Raya Martin_80,80
91,Sergi,Canós,3,3,81,2077,36,282.9,359.2,422.0,5,268,106.5,8,1,6,1.0,55,3,MID,55,BRE,Sergi Canós_81,81
92,Pelenda Joshua,Dasilva,0,0,7,250,6,40.9,28.6,30.0,0,27,9.8,0,1,0,0.0,53,3,MID,55,BRE,Pelenda Joshua Dasilva_82,82
93,Rico,Henry,3,0,108,2775,41,324.4,444.8,233.0,4,453,100.1,9,0,2,1.2,45,2,DEF,45,BRE,Rico Henry_83,83
94,Vitaly,Janelt,4,0,90,2295,37,330.0,440.2,399.0,8,343,116.7,9,0,3,0.2,49,3,MID,50,BRE,Vitaly Janelt_84,84
95,Saman,Ghoddos,1,2,30,524,4,96.3,128.4,133.0,0,115,36.0,1,0,2,0.0,52,3,MID,55,BRE,Saman Ghoddos_85,85
96,Mathias,Jensen,0,1,54,1590,30,508.0,242.8,181.0,2,246,93.3,3,0,0,0.0,49,3,MID,50,BRE,Mathias Jensen_86,86
97,Charlie,Goode,0,0,10,448,6,82.7,54.8,24.0,0,64,16.0,1,0,3,1.1,39,2,DEF,40,BRE,Charlie Goode_87,87
98,Marcus,Forss,0,1,11,203,4,12.5,20.8,55.0,0,35,8.7,0,0,0,0.1,53,4,FWD,55,BRE,Marcus Forss_88,88
99,Mads,Roerslev Rasmussen,1,1,41,1232,27,125.8,200.2,81.0,4,170,40.8,1,0,1,0.2,41,2,DEF,45,BRE,Mads Roerslev Rasmussen_89,89
100,Mads,Bech Sørensen,0,0,22,833,14,69.4,112.8,44.0,1,139,22.6,2,0,3,0.1,43,2,DEF,45,BRE,Mads Bech Sørensen_90,90
101,Ethan,Pinnock,1,1,90,2694,43,151.7,648.8,335.0,7,517,113.5,7,0,1,2.7,44,2,DEF,45,BRE,Ethan Pinnock_91,91
102,Ellery,Balcombe,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,1,GK,40,BRE,Ellery Balcombe_92,92
103,Jan,Zamburek,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.5,44,3,MID,45,BRE,Jan Zamburek_93,93
104,Patrik,Gunnarsson,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,1.1,39,1,GK,40,BRE,Patrik Gunnarsson_94,94
105,Halil,Dervişoğlu,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,54,4,FWD,55,BRE,Halil Dervişoğlu_95,95
106,Bryan,Mbeumo,4,7,119,2905,47,508.9,441.2,927.0,6,310,186.7,9,0,4,1.9,52,3,MID,55,BRE,Bryan Mbeumo_96,96
107,Mads,Bidstrup,0,0,4,36,0,0.7,6.6,0.0,0,11,0.8,0,0,0,0.1,44,3,MID,45,BRE,Mads Bidstrup_97,97
108,Frank,Onyeka,0,2,35,1040,19,73.5,93.0,174.0,0,117,33.7,3,0,4,0.1,49,3,MID,50,BRE,Frank Onyeka_479,479
109,Kristoffer,Ajer,1,3,81,1995,32,123.5,381.2,184.0,5,384,69.0,8,0,5,0.7,44,2,DEF,45,BRE,Kristoffer Ajer_483,483
110,Dominic,Thompson,0,0,3,146,3,1.2,15.8,6.0,0,12,2.3,0,0,0,0.0,44,2,DEF,45,BRE,Dominic Thompson_498,498
111,Shandon,Baptiste,1,0,35,898,15,120.2,132.8,145.0,2,120,39.6,2,1,0,0.0,49,3,MID,50,BRE,Shandon Baptiste_499,499
112,Yoane,Wissa,7,2,92,1268,22,105.6,318.8,379.0,6,277,79.6,3,0,0,0.3,57,3,MID,60,BRE,Yoane Wissa_524,524
113,Álvaro,Fernández,0,0,31,1080,24,0.0,353.2,0.0,2,218,35.2,1,0,0,0.4,45,1,GK,45,BRE,Álvaro Fernández_556,556
113,Álvaro,Fernández,0,0,31,1080,24,0.0,353.2,0.0,2,218,35.2,1,0,0,0.4,45,1,GK,45,BRE,Álvaro Fernández_728,728
114,Finley,Stevens,0,0,1,14,0,10.3,8.6,2.0,0,4,2.1,0,0,0,0.3,39,2,DEF,40,BRE,Finley Stevens_569,569
115,Mathias,Jorgensen,1,0,18,516,10,44.9,108.6,57.0,0,84,21.1,1,0,2,0.0,45,2,DEF,45,BRE,Mathias Jorgensen_594,594
116,Paris,Maghoma,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,3,MID,45,BRE,Paris Maghoma_614,614
117,Matthew,Cox,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,40,1,GK,40,BRE,Matthew Cox_619,619
118,Maxwell,Haygarth,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,3,MID,45,BRE,Maxwell Haygarth_628,628
119,Nathan,Young-Coombes,0,0,1,3,0,0.0,0.0,0.0,0,2,0.0,0,0,0,1.1,45,4,FWD,45,BRE,Nathan Young-Coombes_640,640
120,Myles,Peart-Harris,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,3,MID,45,BRE,Myles Peart-Harris_662,662
121,Jonas,Lössl,0,0,2,180,5,0.0,15.4,0.0,0,21,1.6,0,0,0,0.0,45,1,GK,45,BRE,Jonas Lössl_673,673
122,Christian,Eriksen,1,4,43,938,10,428.6,269.4,172.0,2,221,86.8,4,0,1,1.8,56,3,MID,55,BRE,Christian Eriksen_699,699
123,Julian,Jeanvier,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,2,DEF,40,BRE,Julian Jeanvier_722,722
124,Adam,Lallana,0,1,44,1559,20,162.9,209.4,173.0,0,240,54.6,6,0,4,0.1,53,3,MID,55,BHA,Adam Lallana_53,53
125,Jason,Steele,0,0,2,90,2,0.0,28.8,0.0,0,17,2.9,0,0,0,2.8,39,1,GK,40,BHA,Jason Steele_54,54
126,Pascal,Groß,2,5,88,2033,24,902.5,412.6,345.0,7,405,166.2,8,0,1,0.3,56,3,MID,60,BHA,Pascal Groß_55,55
127,Shane,Duffy,1,1,48,1434,19,58.2,380.6,282.0,3,288,72.2,4,0,7,7.6,40,2,DEF,40,BHA,Shane Duffy_56,56
128,Davy,Pröpper,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,3,MID,45,BHA,Davy Pröpper_57,57
129,Lewis,Dunk,1,0,92,2573,33,63.0,551.8,327.0,7,537,94.2,10,1,3,2.3,48,2,DEF,50,BHA,Lewis Dunk_59,59
130,Solomon,March,0,2,61,1733,23,512.0,259.6,285.0,0,216,105.6,7,0,1,0.1,53,3,MID,55,BHA,Solomon March_60,60
131,Adam,Webster,2,0,59,1429,20,50.1,387.8,112.0,6,266,55.1,4,0,5,0.3,43,2,DEF,45,BHA,Adam Webster_61,61
132,Joël,Veltman,1,1,95,2874,39,274.6,532.8,148.0,5,545,95.8,8,0,6,1.4,42,2,DEF,45,BHA,Joël Veltman_62,62
133,Neal,Maupay,8,3,98,2269,31,357.3,367.4,672.0,11,295,137.4,7,0,7,4.3,62,4,FWD,65,BHA,Neal Maupay_63,63
134,Leandro,Trossard,8,4,141,2803,33,708.3,627.6,1020.0,16,465,235.4,11,0,2,2.8,59,3,MID,65,BHA,Leandro Trossard_64,64
135,Mathew,Ryan,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,1,GK,45,BHA,Mathew Ryan_65,65
136,Alireza,Jahanbakhsh,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,55,3,MID,55,BHA,Alireza Jahanbakhsh_66,66
137,Bernardo,Fernandes Da Silva Junior,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,2,DEF,40,BHA,Bernardo Fernandes Da Silva Junior_68,68
138,Robert,Sánchez,0,0,126,3330,42,30.0,804.6,0.0,8,679,83.4,11,1,3,14.5,45,1,GK,45,BHA,Robert Sánchez_69,69
139,Yves,Bissouma,1,2,66,2110,28,167.1,425.6,126.0,9,351,71.8,7,0,10,4.8,44,3,MID,45,BHA,Yves Bissouma_70,70
140,Tariq,Lamptey,0,2,74,1547,21,353.4,246.0,172.0,7,308,76.8,6,0,4,1.8,45,2,DEF,45,BHA,Tariq Lamptey_71,71
141,Aaron,Connolly,0,0,5,154,1,13.1,2.4,18.0,0,12,3.1,0,0,0,0.1,53,4,FWD,55,BHA,Aaron Connolly_72,72
142,Steven,Alzate,0,0,13,401,7,40.8,70.2,21.0,0,77,13.3,0,0,0,0.0,48,3,MID,50,BHA,Steven Alzate_73,73
143,Alexis,Mac Allister,5,2,93,2112,29,455.6,494.0,540.0,8,398,148.8,6,0,4,0.5,51,3,MID,55,BHA,Alexis Mac Allister_74,74
144,Jakub,Moder,0,3,58,1694,23,286.0,239.6,372.0,0,227,90.3,5,0,1,0.5,45,3,MID,45,BHA,Jakub Moder_75,75
145,Danny,Welbeck,6,4,89,1469,16,195.1,302.4,528.0,13,247,101.5,5,0,0,1.6,60,4,FWD,60,BHA,Danny Welbeck_447,447
